Code;FacNom;FacAdr;FacSuiteAdr;FacCp;FacVille;Expr1006;FacInterloc;LivNom;LivCivilite;LivAdr;LivSuiteAdr;LivCp;LivVille;FacTel;LivPortable;LivInterloc
31000;DPRC;EXPERT COMPTABLE;88 COURS DE VERDUN;33000;BORDEAUX;05 56 44 01 25;MR DI PACE;DPRC;;EXPERT COMPTABLE;88 COURS DE VERDUN;33000;BORDEAUX;05 56 44 01 25;;MR DI PACE
31010;A BORDEAUX;60 RUE PORTE DIJEAUX;SONNETTE A BORDEAUX;33000;BORDEAUX;05 56 44 24 54;MME CATHY GANUCHAUD;SARL A BORDEAUX;;18 RUE VITAL CARLES;SONNETTE A BORDEAUX;33000;BORDEAUX;05 56 44 24 54;;SARL A BORDEAUX
31030;ADAIAQ - CFAI AQUITAINE;40 AVENUE MARYSE BASTIE BP 75;;33523;BRUGES CEDEX;05 56 57 45 04;ISABELLE BRUNEAU;ADAIAQ - CFAI AQUITAINE;;40 AVENUE MARYSE BASTIE BP 75;;33523;BRUGES CEDEX;05 56 57 45 04;;ISABELLE BRUNEAU
31040;ADAIAQ - CFAI AQUITAINE;CENTRE DE FORMATION MULTI METI;3 LE GRAND VERGER;33860;REIGNAC;05 57 42 66 27;ADAIAQ - CFAI AQUITAINE;ADAIAQ - CFAI AQUITAINE;;CENTRE DE FORMATION MULTI METI;3 LE GRAND VERGER;33860;REIGNAC;05 57 42 66 27;;CFAI AQUITAINE
31050;AR2I NOUVELLE AQUITAINE;MAISON DE L'INDUSTRIE;40 AVENUE MARYSE BASTIE BAT A;33523;BRUGES CEDEX;05 56 57 45 86;MME MARTINE REO;AR2I NOUVELLE AQUITAINE;;MAISON DE L'INDUSTRIE;40 AVENUE MARYSE BASTIE BAT A;33523;BRUGES CEDEX;05 56 57 45 86;EX ADEFIM;MME MARTINE REO
31060;AUDIT EVALUATION CONSEIL;ZONE DE  TECHNOBRUGES;2 RUE L HERMITE;33520;BRUGES;05 56 48 85 02;MME ELISABETH BRILLET;AUDIT EVALUATION CONSEIL;;ZONE DE TECHNOBRUGES;2 RUE L HERMITTE;33520;BRUGES;05 56 48 85 02;;ELISABETH BRILLET
31070;ALAIN AFFLELOU  MERIGNAC;SAS ERIC AFFLELOU;C C MERIGNAC SOLEIL;33700;MERIGNAC;05 56 55 90 25;LIONEL;ALAIN AFFLELOU;;C C MERIGNAC SOLEIL;C C MERIGNAC SOLEIL;33700;MERIGNAC;05 56 55 90 25;;LIONEL
31080;CLARO D AFFLELOU - OPTICAL DIS;EURL A PLUS;C C MERIGNAC SOLEIL;33700;MERIGNAC;05 56 34 86 81;SEBASTIEN VASSEUR;CLARO D AFFLELOU;;C C MERIGNAC SOLEIL;C C MERIGNAC SOLEIL;33700;MERIGNAC;05 56 34 86 81;;SOPHIE MIRTAIN
31090;ALAIN AFFLELOU  BORDEAUX;SAS ERIC AFFLELOU;60 RUE PORTE DIJEAUX;33000;BORDEAUX;05 56 44 59 38;UGO;ALAIN AFFLELOU;;60 RUE PORTE DIJEAUX;60 RUE PORTE DIJEAUX;33000;BORDEAUX;05 56 44 59 38;;MANA GURY
31100;SAS A+  AFFLELOU LORMONT;SAS ERIC AFFLELOU;C C DES 4 PAVILLONS;33310;LORMONT;05 56 38 23 57;SANDRA;ALAIN AFFLELOU;;C C DES 4 PAVILLONS;C C DES 4 PAVILLONS;33310;LORMONT;05 56 38 23 57;;Sandra MESTREAU
